model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_confidence_option,mlp,299,90,0.6849747474747474,0.6850711425492144,0.5638469225666807,0.8103083114801863,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_confidence_option,extratrees,299,90,0.7184343434343434,0.7184227877686536,0.5949800287947347,0.8264966394716394,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_confidence_option,hgb,299,90,0.6489898989898989,0.6541200956095833,0.5157351648351648,0.7942915066154501,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,hidden_summary_only,logreg,299,90,0.6988636363636365,0.6909542415920875,0.5587496630559576,0.8050422535211267,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,hidden_summary_only,mlp,299,90,0.5202020202020202,0.5189803415632055,0.3628020966709347,0.6667342171717171,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,hidden_summary_only,extratrees,299,90,0.711489898989899,0.7070490050689922,0.5584912860418823,0.8229591013824883,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,hidden_summary_only,hgb,299,90,0.6994949494949495,0.7005268173989395,0.5657912997126171,0.8178203061015561,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_hidden_summary,logreg,299,90,0.750631313131313,0.747161027784797,0.6379980769230769,0.8496716958684835,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_hidden_summary,mlp,299,90,0.6957070707070706,0.691919982102731,0.570120076425632,0.8193013325825826,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_hidden_summary,extratrees,299,90,0.7575757575757576,0.7585288512260763,0.6330560974392252,0.854794949351675,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_plus_hidden_summary,hgb,299,90,0.7190656565656566,0.7210603884559805,0.5967631172839506,0.8202313094891219,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,123,pca_hidden_embeddings,logreg,299,90,0.6571969696969697,0.6547932595785518,0.5258838383838385,0.7789930555555555,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,pca_hidden_embeddings,mlp,299,90,0.39457070707070707,0.39155048932340114,0.2537816807260676,0.5212741315136477,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,pca_hidden_embeddings,extratrees,299,90,0.7266414141414141,0.727321718444649,0.6090466417910447,0.8521641422334966,0.7357859531772575,64.0,0.7531510591506958
olmo2_7b_instruct,OLMo,arc_challenge,123,pca_hidden_embeddings,hgb,299,90,0.6761363636363636,0.6785815201897702,0.5570441970748266,0.8040769230769229,0.7357859531772575,64.0,0.7531510591506958
