model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
deepseek_r1_qwen7b,commonsenseqa,cheap_confidence_option,extratrees,5,0.6053551982576388,0.024200787346243483,0.5248976559912191,0.6813166815881536
deepseek_r1_qwen7b,commonsenseqa,cheap_confidence_option,hgb,5,0.5751969764909359,0.02751317706356295,0.49330636617989476,0.6523695466849417
deepseek_r1_qwen7b,commonsenseqa,cheap_confidence_option,logreg,5,0.652104285439754,0.030509179738849472,0.5672160496918206,0.7249916596565079
deepseek_r1_qwen7b,commonsenseqa,cheap_confidence_option,mlp,5,0.4342707065530715,0.026932863156990842,0.35938689529373763,0.509966477124896
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary,extratrees,5,0.5813336749727755,0.031076499831961327,0.49515156741289823,0.6586315280140875
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary,hgb,5,0.5698161552751265,0.028163138230259156,0.49042254448698663,0.6448001405305999
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary,logreg,5,0.608609313945295,0.029691034663380734,0.5303379912042205,0.6839879006610466
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_hidden_summary,mlp,5,0.4661328550381142,0.02274391179135969,0.3882926291214032,0.5469112994215809
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden,extratrees,5,0.6168214720389469,0.0366974637725693,0.5360226452751615,0.6972122080683867
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden,hgb,5,0.5884312343860099,0.03066325884634473,0.5060918149214897,0.6671643605696288
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden,logreg,5,0.6114662737813081,0.0106880488919213,0.5339527642062585,0.6902810433982122
deepseek_r1_qwen7b,commonsenseqa,cheap_plus_pca_hidden,mlp,5,0.4827365319326116,0.05106075622999582,0.40686401505336933,0.5682286964210832
deepseek_r1_qwen7b,commonsenseqa,direct_pmax,none,5,0.5974761386202037,0.01961157726055758,0.5150768450685336,0.6788433217569126
deepseek_r1_qwen7b,commonsenseqa,hidden_summary_only,extratrees,5,0.4567164179104478,0.03300872054478636,0.379665940809609,0.5304116004227113
